Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
Marcin Prachnio,1175.9715140906706,1200.0,4-6-0,0,1197.594595217029
Darrick Minner,1175.8710341080723,1218.4156003839087,2-4-0,0,1228.883669964515
Craig White,1175.3811299082836,1200.0,0-2-0,0,1276.6370881719445
Travis Lutter,1175.1884589387598,1215.36010281585,2-4-0,0,1224.7760596798178
Caol Uno,1175.1332103283592,1221.9482614646274,3-5-2,0,1224.9503661355504
Brian Johnston,1175.1001155332042,1218.6269915932464,2-4-0,0,1231.3371646601522
Jack Marshman,1174.9771619700716,1218.1336292865628,3-5-0,0,1221.4400056953634
Anthony Perosh,1174.9616506994294,1207.469957176447,5-7-0,0,1201.082845354082
Mike de la Torre,1174.8760016539723,1203.4444078752058,2-4-0,0,1216.7041910293083
Dhiego Lima,1174.6556988699554,1200.8195202377601,4-7-0,0,1225.367321958694
Luke Sanders,1174.6447370531619,1216.9421348100755,3-5-0,0,1217.235256957824
Jessica-Rose Clark,1174.6002965280368,1231.8660338727288,4-5-0,0,1187.2370820938374
Russell Doane,1174.484806666984,1232.6000182351502,3-5-0,0,1218.4799661451198
Elise Reed,1174.244744941293,1202.0289368230262,4-6-0,0,1207.019361615673
Uran Satybaldiev,1174.2074412356458,1200.0,0-2-0,0,1261.616128643754
Anthony Njokuani,1174.070732452323,1204.4885872663376,3-5-0,0,1210.8498328597386
James Irvin,1174.0474056636633,1218.6993756970903,4-6-0,0,1210.6907608099873
DaMarques Johnson,1173.9417462978222,1218.1688246551043,4-6-0,0,1216.4108652711025
Rafael Alves,1173.9245141913852,1203.1717165687016,1-3-0,0,1226.9992363840383
Ross Pearson,1173.816203460402,1260.6785142330052,12-13-0,0,1224.826771939171
Julia Polastri,1173.8134183368009,1202.034828217457,1-3-0,0,1225.2169649991954
Mickey Gall,1173.7146551647202,1247.1362202058997,6-7-0,0,1207.5956676046792
Julius Walker,1173.6812088583401,1200.0,0-2-0,0,1255.521543590332
Kyle Daukaus,1173.6238624605405,1204.2994336223305,2-4-0,0,1221.6146565682805
Mario Miranda,1173.5742981588708,1201.599386928137,1-3-0,0,1224.1037382581262
Francisco Rivera,1173.5554651944756,1230.9852035295569,4-6-0,0,1219.3283301619435
