Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
Jon Jones,1475.092770862307,1475.092770862307,22-1-0,19,1278.7674753897268
Georges St-Pierre,1446.4489191383,1446.4489191383,20-2-0,13,1272.2472094933707
Islam Makhachev,1438.5092601654612,1438.5092601654612,17-1-0,16,1284.6600340109007
Merab Dvalishvili,1399.682213444286,1399.682213444286,15-2-0,15,1260.446144394938
Khabib Nurmagomedov,1392.587458988321,1392.587458988321,13-0-0,13,1265.623464592136
Kamaru Usman,1392.4582630924538,1422.8505010831632,17-3-0,2,1294.4341783896346
Amanda Nunes,1377.6813260768934,1377.6813260768934,16-2-0,2,1235.3252924098058
Alexander Volkanovski,1377.1385747768156,1391.9513687582676,15-3-0,2,1298.9704043567958
Max Holloway,1377.0990451541077,1396.6799857666358,22-8-0,0,1269.6356107497716
Magomed Ankalaev,1376.5281223870695,1376.5281223870695,13-1-1,14,1251.233113625009
Alexandre Pantoja,1372.1755435657371,1372.1755435657371,16-3-0,10,1229.824459843098
Valentina Shevchenko,1371.9659951170422,1371.9659951170422,15-3-1,4,1255.6945370161905
Ilia Topuria,1371.6581319291306,1371.6581319291306,10-0-0,10,1301.2032770190424
Dricus Du Plessis,1370.0554037748295,1370.0554037748295,10-0-0,10,1299.8985624789775
Demetrious Johnson,1368.641555133753,1389.8631754067926,15-2-1,0,1237.6958874458398
Francis Ngannou,1363.7793101663563,1363.7793101663563,12-2-0,6,1280.6704784540364
Beneil Dariush,1363.6617539321478,1371.991875868665,18-6-1,2,1261.7810089919792
Dustin Poirier,1363.1307985915932,1395.1934854568694,22-8-0,0,1261.0078738008108
Movsar Evloev,1359.4454465358829,1359.4454465358829,10-0-0,10,1270.2827506896533
Grant Dawson,1353.7055045606319,1353.7055045606319,12-1-1,4,1241.7542697391223
Belal Muhammad,1352.1895837213622,1389.2305137004446,15-5-0,0,1269.0502974064073
Ciryl Gane,1351.564838885961,1351.564838885961,11-2-0,3,1292.6170085578533
Jack Della Maddalena,1351.519725400043,1351.519725400043,9-0-0,9,1283.9863742418581
Robert Whittaker,1348.8747758462855,1367.4525057946225,17-6-0,0,1268.9089924908692
Charles Oliveira,1347.9611038023525,1395.8854008132346,23-12-0,0,1265.4421106702782
Zhang Weili,1346.871165967664,1346.871165967664,11-2-0,6,1271.5945647770145
Stipe Miocic,1345.819628011224,1375.0529760270774,14-5-0,0,1294.448946588068
Leon Edwards,1341.1540357349422,1395.323895656715,14-5-0,0,1282.0610469253484
Joshua Van,1341.0203515857413,1341.0203515857413,12-1-0,9,1202.0539297382898
Curtis Blaydes,1340.7575829020732,1342.4919030809383,15-5-0,2,1255.312275666546
Aljamain Sterling,1340.1407105311587,1384.0009836748973,16-6-0,0,1271.4988224010008
Sean Brady,1339.8634613486317,1339.8634613486317,9-1-0,4,1288.4643163695278
Ryan Bader,1339.3113105195557,1339.3113105195557,15-5-0,2,1247.0851917184682
Daniel Cormier,1337.8625966184168,1370.9291343312275,11-3-0,0,1312.7287739204653
Cory Sandhagen,1337.7663394670572,1337.7663394670572,12-4-0,2,1289.6629804235527
Lerone Murphy,1337.0911541135492,1337.0911541135492,9-0-1,10,1247.0959306549357
Khamzat Chimaev,1336.7732615085342,1336.7732615085342,8-0-0,8,1280.7413547110743
Jon Fitch,1334.4405605258617,1362.4749680136251,14-3-1,0,1241.5608095374873
Shavkat Rakhmonov,1332.3535046923876,1332.3535046923876,8-0-0,8,1275.1234531997234
Song Yadong,1331.005182761801,1331.005182761801,12-3-1,2,1252.7323173760976
Mario Bautista,1330.926203644191,1330.926203644191,11-2-0,9,1221.1322162079794
Michael Chiesa,1328.388912870345,1328.388912870345,16-7-0,5,1248.8371742919005
Arnold Allen,1325.1343217352774,1341.5685601162593,11-2-0,1,1247.417306622738
Carlos Ulberg,1324.4974079005838,1324.4974079005838,9-1-0,9,1234.653698346865
Nassourdine Imavov,1324.4448479974976,1324.4448479974976,9-2-0,5,1265.2074632889742
Cain Velasquez,1323.9479277095493,1347.3209292427282,12-3-0,0,1256.985594714062
Michael Bisping,1322.672944551212,1353.8894520023023,20-9-0,0,1243.3081585823084
Arman Tsarukyan,1322.570813542271,1322.570813542271,9-2-0,4,1265.4077944282408
Jailton Almeida,1322.4038883056587,1322.4038883056587,9-1-0,3,1249.1971398976364
TJ Dillashaw,1322.2760925515836,1340.503419754325,13-5-0,0,1260.2728217119318
Glover Teixeira,1321.4283688098724,1362.3641403617492,16-7-0,0,1264.796784299141
Justin Gaethje,1321.1312156995004,1321.1312156995004,10-5-0,2,1315.1789224469758
Benson Henderson,1321.051159313427,1326.10313502219,11-3-0,2,1271.5512442466454
Montel Jackson,1320.5304593600245,1320.5304593600245,10-2-0,7,1225.6752265654015
Natalia Silva,1320.1502957166708,1320.1502957166708,8-0-0,8,1231.8704663868314
Tom Aspinall,1318.023765044498,1318.023765044498,8-1-0,3,1269.226660067544
Rose Namajunas,1317.2236987234317,1317.2236987234317,13-6-0,2,1264.4449825479862
Anthony Hernandez,1317.1195616277953,1317.1195616277953,9-2-0,8,1239.4439876595295
Michael Morales,1316.4553856349223,1316.4553856349223,7-0-0,7,1264.075852301158
Jasmine Jasudavicius,1316.2080883271037,1316.2080883271037,10-2-0,7,1218.7451609882314
Demian Maia,1315.5979082309034,1371.8823748305936,22-11-0,0,1255.6183749109578
Francisco Trinaldo,1315.0156480481676,1333.4423201387099,18-8-0,0,1233.5381555712668
Yair Rodriguez,1314.9346438553769,1323.3761890485364,12-4-0,2,1256.3325960119705
Paddy Pimblett,1314.4728379514486,1314.4728379514486,8-0-0,8,1215.9060529896444
Randy Brown,1313.6870941287127,1322.2033504968053,15-7-0,1,1242.8330376926333
Waldo Cortes-Acosta,1313.3614297893107,1313.3614297893107,9-1-0,7,1211.3558005508567
Anthony Johnson,1311.228533433425,1328.0615510778648,13-6-0,0,1249.8442473430905
Don Frye,1311.0550493831192,1311.0550493831192,9-1-0,3,1220.4733999918456
Dominick Reyes,1310.3497451307946,1310.3497451307946,11-4-0,5,1255.3858967137678
Chris Gutierrez,1310.2319574301998,1310.2319574301998,11-3-1,3,1226.0587326361417
Marcin Tybura,1310.1300158305933,1310.1300158305933,15-8-0,3,1238.8383239390914
Brandon Moreno,1309.8698371378102,1309.8698371378102,12-5-2,3,1258.3094874903588
Alex Pereira,1308.8668387652153,1338.698117728625,9-3-0,0,1300.4568953174671
Jean Silva,1308.8268408527863,1308.8268408527863,7-0-0,7,1237.5026523577174
Gegard Mousasi,1308.6489963620934,1308.6489963620934,9-3-0,5,1258.4644611559577
Dong Hyun Kim,1308.5648556413873,1326.904402190018,13-4-0,0,1228.9370305117127
Matt Hughes,1308.1956963591313,1358.070420393533,18-7-0,0,1232.8620864082293
Mateusz Gamrot,1308.0468970474,1308.0468970474,9-3-0,2,1267.4532532207452
Roman Dolidze,1307.7641499596289,1307.7641499596289,10-3-0,4,1239.635656302054
Bryan Battle,1306.7252331282561,1306.7252331282561,8-1-0,5,1227.986030375672
Caio Borralho,1306.6398939283047,1306.6398939283047,7-0-0,7,1230.1451097883312
Joaquin Buckley,1305.242209078361,1318.472489539004,12-6-0,0,1256.3186019207108
Nasrat Haqparast,1304.312031907372,1304.312031907372,11-4-0,6,1220.2587773093053
John Lineker,1304.1791581657135,1323.615175443534,12-4-0,0,1223.9461382166176
Virna Jandiroba,1303.7346692821584,1303.7346692821584,9-3-0,6,1239.2942413182748
Sean Strickland,1303.6095045565178,1338.0710742486312,16-8-0,0,1256.5226089008102
Conor McGregor,1302.1380723991392,1329.307305824928,10-4-0,0,1293.112774549177
Petr Yan,1301.9581343634702,1310.6118285438156,10-4-0,2,1278.5003196700004
Muhammad Mokaev,1301.857594601101,1301.857594601101,7-0-0,7,1213.3752802473512
Dan Hooker,1301.6222473921212,1301.6222473921212,14-8-0,3,1251.4265541288282
Vicente Luque,1301.5312905584672,1353.3672970486398,17-8-0,0,1245.813721605802
Lyoto Machida,1301.4543687934852,1326.4496478638437,16-8-0,2,1262.5145448023045
Royce Gracie,1301.2294436174648,1316.5858856018574,8-1-1,0,1232.1061592222532
Chase Hooper,1300.7900550338707,1300.7900550338707,10-3-0,7,1206.1267911328744
Rustam Khabilov,1300.7671326582756,1306.6236814115339,10-3-0,1,1232.4413397239657
Gillian Robertson,1300.239257267828,1300.239257267828,14-6-0,5,1206.930823373143
Maycee Barber,1300.2101286028837,1300.2101286028837,9-2-0,6,1216.0721541480282
Raquel Pennington,1299.842174847844,1318.2559856381806,13-6-0,0,1230.084828916437
Randy Couture,1299.7540277741602,1318.0156280020237,16-8-0,0,1256.7878746467316
Ricky Simon,1299.4733485807283,1299.4733485807283,12-5-0,4,1236.8135252234633
Deiveson Figueiredo,1298.784554757907,1350.7475257545314,13-6-1,0,1272.2279879039206
Melquizael Costa,1298.6206227118864,1298.6206227118864,8-2-0,7,1230.3012915305378
Derrick Lewis,1298.6158377097086,1349.4496597088514,19-10-0,1,1248.8043503270383
Tagir Ulanbekov,1298.5752923858865,1298.5752923858865,8-1-0,6,1206.315251031142
Joseph Benavidez,1298.025172607828,1355.1093761823854,15-6-0,0,1236.185297439462
Rob Font,1297.7646219141343,1297.7646219141343,13-7-0,3,1255.010624882624
Erin Blanchfield,1297.5763390871089,1297.5763390871089,7-1-0,1,1256.6668776338213
Aiemann Zahabi,1297.4675780177643,1297.4675780177643,8-2-0,7,1227.4840004376429
Derek Brunson,1297.4433975524314,1335.401801503472,14-7-0,0,1255.3103214532496
Jake Matthews,1297.0186580101229,1297.0186580101229,15-7-0,3,1218.6292543288055
Israel Adesanya,1296.9062370343074,1375.206053755435,13-6-0,0,1292.8785863351532
Joel Alvarez,1296.6548424384307,1296.6548424384307,8-2-0,4,1232.1994433771142
JunYong Park,1296.588316328831,1296.588316328831,10-3-0,3,1208.1276216423912
Neil Magny,1296.5147233582081,1352.8087914806931,22-12-0,0,1250.148794470905
Colby Covington,1296.4075479646872,1345.047686643076,12-6-0,0,1288.7575345292628
Norma Dumont,1296.281992165121,1296.281992165121,8-2-0,5,1228.8082643211314
Alexander Volkov,1295.8830704221673,1326.984608936793,12-6-0,0,1269.967932343892
Ian Garry,1295.522870334691,1295.522870334691,6-0-0,6,1235.8372419329496
Raoni Barcelos,1295.374734681523,1295.374734681523,11-4-0,5,1219.3212034058517
Alonzo Menifield,1295.2700737853718,1295.2700737853718,12-5-1,4,1219.4308694848144
Sean O'Malley,1295.0659639326304,1337.9443002296844,10-4-0,0,1268.5962070331332
Jared Cannonier,1294.1298703153818,1294.839760160194,12-8-0,2,1268.8767000712471
Daniel Rodriguez,1294.0145691486741,1294.0145691486741,10-4-0,3,1249.1032207213957
Nathaniel Wood,1293.8133908644575,1293.8133908644575,10-3-0,3,1214.4507341048711
Fares Ziam,1292.5523716914236,1292.5523716914236,8-2-0,6,1216.6823334587768
Sergei Pavlovich,1292.534798257113,1292.534798257113,8-3-0,2,1268.779596764595
Fabricio Werdum,1292.2644317558868,1313.973614545288,12-6-0,1,1255.939576680056
Chepe Mariscal,1291.6655049201038,1291.6655049201038,6-0-0,6,1224.346438611951
Amanda Lemos,1291.6150326298862,1291.6150326298862,10-4-0,2,1237.6683889138621
Kenny Florian,1291.5403439697288,1315.9248065041045,12-5-0,0,1232.144792647422
Azamat Murzakanov,1291.4150342552762,1291.4150342552762,6-0-0,6,1223.6382948446278
Kevin Holland,1290.631894556021,1291.3484546184252,17-11-0,2,1247.7502354956564
Brendan Allen,1290.6115178868251,1344.1268621896857,12-5-0,0,1246.0552065793167
Gregor Gillespie,1290.484091685239,1290.484091685239,7-1-0,1,1234.498842600002
Zabit Magomedsharipov,1289.4095694972834,1289.4095694972834,6-0-0,6,1213.8538529734196
Anderson Silva,1288.7367862568044,1415.7145124759727,17-7-0,0,1260.0825117326378
Nazim Sadykhov,1288.1037619200251,1288.1037619200251,6-0-1,7,1206.4649312542101
Tracy Cortez,1288.0567357034483,1288.0567357034483,7-1-0,2,1223.41180135664
Chuck Liddell,1288.0530733122143,1379.362113780331,16-7-0,0,1239.3863105175055
Marlon Vera,1287.7893678550981,1321.485736439636,15-9-0,0,1241.6077698726374
Katlyn Chookagian,1285.74433827371,1303.7111642514328,11-5-0,0,1230.098348481679
Kyoji Horiguchi,1285.5445881086384,1285.5445881086384,7-1-0,3,1210.5320431881169
TJ Grant,1285.441917645137,1285.441917645137,8-3-0,5,1230.3496054495836
Pat Sabatini,1285.4338075099845,1285.4338075099845,8-2-0,3,1219.3177812836857
Ketlen Vieira,1285.3360580052915,1285.3360580052915,10-4-0,2,1231.9577287749235
Phil Davis,1285.1034283911126,1304.5220284793568,9-3-0,0,1238.984160775136
Muhammad Naimov,1284.8348631029069,1284.8348631029069,7-1-0,4,1207.863921836161
Reinier de Ridder,1284.4773412458478,1284.4773412458478,5-0-0,5,1254.7590869724283
Rich Franklin,1283.7485985649337,1323.320225983195,14-6-0,0,1237.1774416388312
Manon Fiorot,1283.6747158260337,1311.3388187543005,7-2-0,0,1268.5989927179326
Khalil Rountree Jr.,1283.1613661666713,1283.1613661666713,11-6-0,2,1217.8347607028616
Zak Cummings,1283.1493587065663,1283.1493587065663,10-4-0,2,1221.1752149900474
Mackenzie Dern,1281.9902220205863,1281.9902220205863,11-5-0,3,1225.3162892427172
David Onama,1281.3465465157735,1281.3465465157735,7-2-0,5,1221.1630767253416
Manel Kape,1281.1878252690428,1281.1878252690428,8-3-0,4,1219.9935375635212
Cub Swanson,1280.8925448205825,1308.281243191588,16-10-0,2,1244.5910467915548
Martin Buday,1280.661696319513,1280.661696319513,7-1-0,3,1196.8537951777366
Yoel Romero,1280.5779867206809,1331.7451303371204,9-4-0,0,1281.604170559038
Forrest Griffin,1279.5636932764637,1283.2450111282822,10-5-0,1,1245.7132853344388
Rinat Fakhretdinov,1278.992950925798,1278.992950925798,5-0-1,6,1243.6726347054785
Jiri Prochazka,1278.3375622739757,1278.3375622739757,6-2-0,2,1280.4206164637515
Matt Lindland,1278.0242798355819,1278.0242798355819,9-3-0,2,1215.0634951911582
Rory MacDonald,1277.929209061406,1310.1594430617176,9-4-0,0,1251.9973795779263
James Krause,1277.9068283175636,1280.7953432042175,9-4-0,1,1222.2553194831537
Mike Malott,1277.9037059070802,1277.9037059070802,6-1-0,3,1228.4402214595652
Nate Diaz,1277.8607027104053,1288.6156705915525,16-11-0,1,1254.6742281701072
Joe Pyfer,1277.7056144437345,1277.7056144437345,6-1-0,3,1225.7456063736943
Dustin Jacoby,1277.6684006397065,1277.6684006397065,11-6-1,4,1219.5913595575703
Alistair Overeem,1277.6208708967667,1294.8221827152613,12-8-0,0,1259.6439570178668
Brian Ortega,1276.9810391244152,1307.2397454357135,8-4-0,0,1284.5855805837114
Robbie Lawler,1276.9807585258075,1332.2772900780278,15-10-0,1,1262.2271918528352
Tatiana Suarez,1276.799768218767,1306.3762606904957,7-2-0,0,1250.5549391770774
Henry Cejudo,1276.5981297775036,1338.867954625807,10-6-0,0,1290.7383015364546
Loma Lookboonmee,1276.560970028044,1276.560970028044,8-2-0,5,1182.9160227747466
Gregory Rodrigues,1276.10661991857,1276.10661991857,9-4-0,1,1235.5426325242786
Pat Miletich,1276.0935387814302,1300.4022340465292,8-2-0,0,1215.4359805250567
Frankie Edgar,1276.0335840428113,1354.4135207520214,18-11-1,0,1270.229232526615
Frank Shamrock,1275.943607271497,1275.943607271497,5-0-0,5,1213.9764669237866
Ailin Perez,1275.7025165736727,1275.7025165736727,6-1-0,6,1205.4643348019233
Mairon Santos,1275.4989742755954,1275.4989742755954,5-0-0,5,1211.5013577090172
Brad Tavares,1275.2186070525552,1308.5721853145462,17-10-0,2,1231.7263725910477
Rick Story,1274.8958575562428,1286.9732935153288,12-7-0,0,1241.2520015882537
Yushin Okami,1274.7076512366793,1323.278798388434,14-7-0,0,1238.2804392958324
Michel Prazeres,1274.6666279963267,1315.1893108719803,10-4-0,0,1211.6218447377462
Edmen Shahbazyan,1274.5332182876425,1274.5332182876425,10-5-0,4,1223.4043302479868
Vitor Belfort,1274.1827977823928,1314.0883111436042,15-10-0,0,1262.375651470426
Shane Burgos,1274.1751709511211,1276.0323992272795,8-3-0,2,1231.1110474383352
Jacqueline Cavalcanti,1273.9554176958572,1273.9554176958572,5-0-0,5,1203.942156127057
Youssef Zalal,1273.8780733301908,1273.8780733301908,8-3-1,6,1209.247204106235
Cristiane Justino,1273.8620934247501,1273.8620934247501,6-1-0,1,1221.9138099969714
Tim Sylvia,1273.8195326341047,1294.3801046656647,9-4-0,0,1239.1453593950869
Jonathan Martinez,1273.6616039624396,1308.3433814822506,10-5-0,0,1228.6740005284275
Junior Dos Santos,1273.5995673110122,1346.553481218187,15-8-0,0,1261.0775193735947
Ricardo Lamas,1272.8858828249342,1294.8261352078327,11-6-0,1,1249.0615820249052
Dominick Cruz,1272.7685561855499,1287.921475318773,7-3-0,0,1273.4893487725692
Corey Anderson,1272.5800839747615,1289.7131988913527,10-5-0,0,1230.176775600095
Andre Lima,1272.3940518104025,1272.3940518104025,5-0-0,5,1197.2591142120284
Dan Severn,1272.2119376998583,1307.5561160336188,9-4-0,0,1240.5189803353574
Rafael Dos Anjos,1272.0730613994322,1355.2626842360717,21-15-0,0,1266.385486497344
Mansur Abdul-Malik,1272.0369973022155,1272.0369973022155,5-0-0,5,1195.073541470623
Elias Theodorou,1271.938135178293,1289.2415967718312,8-3-0,0,1229.33891530014
Nursulton Ruziboev,1271.935737564729,1271.935737564729,6-1-0,4,1204.3255660180607
Umar Nurmagomedov,1271.6053022350784,1297.1616127864281,6-2-0,0,1274.101323133796
Muslim Salikhov,1271.5008935957094,1273.8135936376639,8-4-0,2,1251.1483360630577
Tatsuro Taira,1271.1673938082154,1288.581998337744,6-1-0,0,1217.504762754131
Kayla Harrison,1271.1522874166733,1271.1522874166733,4-0-0,4,1266.3493210827237
Chas Skelly,1271.1127496086033,1271.1127496086033,8-3-0,2,1211.1999330640028
Erik Perez,1270.9531726852765,1270.9531726852765,7-2-0,3,1210.4479912188626
Mairbek Taisumov,1270.698524699018,1287.5731243517632,7-2-0,0,1214.1529526931251
John Hathaway,1270.6173575799626,1286.0679779270943,7-2-0,0,1223.6197518219406
Anthony Pettis,1270.1795933143012,1275.777552610023,11-9-0,2,1282.7312503746057
Tyron Woodley,1269.581575561837,1329.5360492193977,9-6-1,0,1296.0083371492476
Dan Ige,1269.259801586441,1280.7830227807572,12-8-0,2,1249.128622406949
Drakkar Klose,1269.2490743207295,1303.3524569782205,9-4-0,0,1233.8553537431999
Josh Barnett,1269.104963816848,1269.827790445733,7-3-0,1,1247.7847667054416
MarQuel Mederos,1269.0406528939084,1269.0406528939084,5-0-0,5,1180.849622298007
Jared Gordon,1269.0041107674501,1269.0041107674501,10-6-0,2,1234.438708802238
Geoff Neal,1268.7129968447482,1286.671923974541,8-4-0,1,1259.9472895900187
Rani Yahya,1268.5226107410672,1305.5959755377003,13-6-1,0,1206.6103991260863
Vinicius Oliveira,1268.3756098969127,1268.3756098969127,4-0-0,4,1249.4805021770337
Jan Blachowicz,1267.957643661765,1317.4650682898239,12-9-1,0,1264.721766532462
Edson Barboza,1267.5972623230125,1321.4884828633797,18-12-0,0,1251.6969771620518
Gabriel Bonfim,1267.3633191305141,1267.3633191305141,5-1-0,3,1238.481014569117
Josh Emmett,1267.361755059965,1313.5941310920093,10-6-0,0,1263.8811352083749
Krzysztof Jotko,1266.2861834214614,1282.7091212659318,11-6-0,0,1225.05868693228
Raul Rosas Jr.,1266.0603995909817,1266.0603995909817,6-1-0,5,1177.7282323667982
Bobby Green,1266.0022411029452,1266.0022411029452,13-10-1,1,1249.0008587943644
Sean Sherk,1265.6255831208282,1265.7687678840782,8-4-0,1,1240.4984875509235
Chad Mendes,1265.5887139344327,1294.5712389752307,9-5-0,0,1257.3188562970734
Roman Kopylov,1265.5775296300915,1265.5775296300915,7-3-0,3,1213.5401923652767
Da'Mon Blackshear,1265.2892056396743,1265.2892056396743,7-3-1,5,1213.042295269386
Rashid Magomedov,1265.2534706470424,1265.2534706470424,5-1-0,1,1240.0623141970943
Gilbert Burns,1265.003232807981,1347.003255999546,15-10-0,0,1265.9725899539421
Benoit Saint Denis,1264.76112312306,1265.9652183005123,7-3-0,2,1232.32448723157
Terrance McKinney,1264.6116710066804,1264.6116710066804,9-4-0,4,1195.1970786741126
Bryce Mitchell,1264.4203037413633,1291.0789293068055,9-4-0,0,1234.3048853594946
Jose Aldo,1264.329803900522,1319.2176936382054,14-10-0,0,1286.7614020891658
Thiago Silva,1264.0942500195908,1264.0942500195908,7-3-0,2,1236.2236488685396
Sean Woodson,1264.048181795461,1286.8935561498133,8-3-1,0,1210.3008390455032
Omari Akhmedov,1263.8907084280609,1280.483092688711,9-5-1,0,1231.1404855648193
Ryan Hall,1263.637700537673,1267.2501255061763,5-1-0,1,1234.7078132950326
Anthony Rocco Martin,1263.4336957077915,1277.4861248052187,9-6-0,0,1240.5132112744911
Germaine de Randamie,1263.3072798687786,1280.018185490991,7-3-0,0,1237.7210497447495
Steve Garcia,1262.7221636305721,1262.7221636305721,6-2-0,5,1205.8376692612533
Modestas Bukauskas,1262.6897270542129,1262.6897270542129,8-4-0,5,1202.6704964400803
Carla Esparza,1262.6687112954062,1300.4996374090458,10-6-0,0,1232.251889850559
Martin Kampmann,1262.6434843253253,1295.304190295684,11-6-0,0,1233.0255773798117
David Teymur,1262.6418578167122,1278.491127720318,5-1-0,0,1233.9981430047133
Farid Basharat,1262.3947735256918,1262.3947735256918,4-0-0,4,1215.0216589566367
Zhang Mingyang,1262.0121780132401,1262.0121780132401,4-0-0,4,1212.9129050912861
Oleg Taktarov,1261.8563592437822,1277.900645909816,6-2-1,0,1230.2553737205994
Stephen Thompson,1261.7338765088612,1314.4034690155615,12-8-1,0,1265.3621198493536
Azamat Bekoev,1261.6436636229694,1261.6436636229694,4-0-0,4,1211.448955689889
Jordan Johnson,1261.6210642150631,1261.6210642150631,4-0-0,4,1211.2803717594127
Renato Moicano,1261.5435092811988,1309.099139322127,12-9-0,0,1270.4453396338818
Marcus McGhee,1261.5088539450799,1261.5088539450799,4-0-0,4,1207.8662442872542
Denise Gomes,1261.3834951167134,1261.3834951167134,6-2-0,4,1205.8403725461483
Jose Delgado,1261.202242911927,1261.202242911927,4-0-0,4,1207.7414867249408
Urijah Faber,1261.0163383195147,1282.1548352557966,11-7-0,0,1241.350394800199
Manuel Torres,1260.8825146285533,1260.8825146285533,5-1-0,2,1216.1725371849093
Mark Kerr,1260.4704290725247,1260.4704290725247,4-0-0,4,1203.8926169282668
Abus Magomedov,1260.1502787462748,1260.1502787462748,5-2-0,4,1249.7104052450525
Thales Leites,1260.0183547258225,1304.866136697552,13-8-0,1,1231.9409078071167
Andre Petroski,1259.9942381614107,1280.8704546361726,9-4-0,0,1217.3112408709608
Rafael Fiziev,1259.7991565971613,1286.890381299589,8-5-0,1,1258.9252603813025
Quillan Salkilld,1259.470824508824,1259.470824508824,4-0-0,4,1198.585093132317
Jaqueline Amorim,1259.4187378257984,1259.4187378257984,5-1-0,5,1196.585107002564
Ryan LaFlare,1259.3816272965112,1279.6849377986614,7-3-0,0,1239.6197266182019
Marcos Rogerio de Lima,1259.298366802067,1260.098657513398,11-7-0,1,1220.4419742946548
Amir Albazi,1259.1297526230953,1275.439594467273,5-1-0,0,1220.178955908076
Johny Hendricks,1258.9052133682178,1341.8022506964637,13-8-0,0,1264.9061218281001
Cheick Kongo,1258.8874831005305,1281.7851296880178,11-6-1,0,1216.1475174352038
Chris Padilla,1258.8764188572907,1258.8764188572907,4-0-0,4,1195.2373546253334
Luana Santos,1258.7353218077353,1258.7353218077353,5-1-0,2,1208.2289948610885
Kyler Phillips,1258.4667482898096,1275.4728705403872,6-2-0,0,1223.1685374855733
Dennis Siver,1258.333596017488,1282.368532012509,12-8-0,1,1221.996953437399
Jacobe Smith,1258.228230086028,1258.228230086028,4-0-0,4,1191.2750293078561
Chris Duncan,1258.148129014534,1258.148129014534,5-1-0,3,1202.070093112956
Mike Pierce,1258.0204855203108,1293.7387325194966,9-5-0,0,1235.297167170706
HyunSung Park,1257.8281981092066,1257.8281981092066,4-0-0,4,1188.8284288919263
Joanna Jedrzejczyk,1257.4317718358348,1318.2584013362823,10-5-0,0,1238.0790889849004
Taylor Lapilus,1257.3242695083693,1257.3242695083693,6-2-0,2,1208.079985791107
Donald Cerrone,1257.1502919755317,1396.2036453737705,23-14-0,0,1259.377808402961
Ikram Aliskerov,1257.077362224798,1257.077362224798,4-1-0,2,1263.3483611270372
Rashad Evans,1257.0495748250717,1360.9813520120133,14-8-1,0,1263.3132881438394
Rousimar Palhares,1257.0335551535359,1274.3678211584606,8-4-0,1,1222.3199952911757
Mauricio Ruffy,1256.9799726913618,1256.9799726913618,4-0-0,4,1184.1909640853091
Sergio Pettis,1256.886798022884,1277.0728660669438,9-5-0,1,1225.7125929873255
Malcolm Wellmaker,1256.799457763041,1256.799457763041,4-0-0,4,1183.2838729801426
Loopy Godinez,1256.7668400328182,1262.1022194189197,9-5-0,2,1207.2478286091539
Alexandr Romanov,1256.703627080568,1272.4821885241804,7-3-0,1,1225.9591550203213
Ronda Rousey,1256.564115108861,1291.1136677482186,6-2-0,0,1229.0163304302414
Miranda Maverick,1256.4442781568118,1272.1274098327356,9-5-0,0,1220.8005610816701
Pedro Rizzo,1256.2674314972624,1278.4232518559902,9-5-0,2,1233.2798545626047
Elizeu Zaleski dos Santos,1256.0330935373454,1296.7612708388103,11-6-1,0,1226.2186187446996
JJ Aldrich,1255.9605468492387,1258.3485196246688,11-6-0,2,1195.4969394169857
Sage Northcutt,1255.8547269034493,1255.8547269034493,6-2-0,3,1199.1002081664128
Marco Tulio,1255.6281343854548,1255.6281343854548,4-0-0,4,1175.6300867955076
Jared Rosholt,1255.6248512970542,1275.3926268682628,6-2-0,0,1215.205266410667
Navajo Stirling,1255.5846333735453,1255.5846333735453,4-0-0,4,1175.8511214470818
Paul Felder,1255.580441108085,1286.286878228417,9-6-0,0,1250.6094417713718
Michel Pereira,1255.5197702356545,1310.0834422331,9-5-0,0,1232.310722565659
Nate Quarry,1255.2858102056503,1273.6747367848996,7-3-0,0,1222.2230161060202
Yan Xiaonan,1255.1109002734888,1286.9625448529116,9-5-0,0,1243.5951292853315
Quinton Jackson,1254.816313808789,1289.2931255773988,8-5-0,1,1262.1891322695653
Matt Hamill,1254.736335542579,1293.5375584299595,9-5-0,0,1231.2433475228916
Wang Cong,1254.1573027406555,1254.1573027406555,5-1-0,4,1179.9297563201083
Roger Huerta,1253.7677120587355,1285.72636275193,6-2-0,0,1219.5954060591746
Jens Pulver,1253.5314640995891,1290.631231728826,6-2-1,0,1214.2018363787531
Chan Sung Jung,1253.1212981802184,1276.3124330954633,7-5-0,0,1285.1095923843552
Kennedy Nzechukwu,1253.0518456173256,1253.0518456173256,9-5-0,3,1201.0669638480645
Diego Lopes,1253.0422442757078,1277.0635197517852,5-3-0,0,1290.8612981259641
Diego Ferreira,1252.97142359602,1299.775075575956,10-7-0,0,1255.6083151944051
Thiago Santos,1252.9343364095932,1313.6462588760207,14-10-0,0,1240.201297862158
Giga Chikadze,1252.7834460958184,1305.0568263280543,8-4-0,0,1243.1895480924102
Mike Swick,1252.6379930038108,1314.9163297583634,10-5-0,0,1226.4020355513321
Santiago Ponzinibbio,1252.541580858123,1314.10538268307,13-9-0,0,1245.2542012700278
Diego Sanchez,1252.4508096739196,1312.4020576252813,19-13-0,0,1239.8906817559928
Matthew Riddle,1252.1851796620717,1258.5821333693525,7-3-0,2,1208.2326577540164
Jorge Masvidal,1251.9001348618979,1302.2831827986877,12-10-0,0,1274.9709575287263
Myles Jury,1251.8674589654158,1292.5775277416678,8-4-0,0,1236.4431858966414
